,Problem,spc,n_formulae,n_atoms,contains_include,full_file_name
0,TOP036+4.p, FOF_THM_RFO_SEQ,34431.0,241872.0,,TPTP-v9.0.0/Problems/TOP/TOP036+4.p
1,TOP029+1.p, FOF_THM_RFO_SEQ,109.0,569.0,,TPTP-v9.0.0/Problems/TOP/TOP029+1.p
2,TOP042+3.p, FOF_THM_RFO_SEQ,13534.0,83921.0,,TPTP-v9.0.0/Problems/TOP/TOP042+3.p
3,TOP008-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP008-1.p
4,TOP009-1.p, CNF_SAT_RFO_NEQ,,,,TPTP-v9.0.0/Problems/TOP/TOP009-1.p
5,TOP043+3.p, FOF_THM_RFO_SEQ,18468.0,129687.0,,TPTP-v9.0.0/Problems/TOP/TOP043+3.p
6,TOP028+1.p, FOF_THM_RFO_SEQ,63.0,266.0,,TPTP-v9.0.0/Problems/TOP/TOP028+1.p
7,TOP037+4.p, FOF_THM_RFO_SEQ,34434.0,241903.0,,TPTP-v9.0.0/Problems/TOP/TOP037+4.p
8,TOP023+4.p, FOF_THM_RFO_SEQ,34380.0,241373.0,,TPTP-v9.0.0/Problems/TOP/TOP023+4.p
9,TOP035+4.p, FOF_THM_RFO_SEQ,34425.0,241808.0,,TPTP-v9.0.0/Problems/TOP/TOP035+4.p
10,TOP048+2.p, FOF_THM_RFO_SEQ,8890.0,54962.0,,TPTP-v9.0.0/Problems/TOP/TOP048+2.p
11,TOP041+3.p, FOF_THM_RFO_SEQ,13533.0,83912.0,,TPTP-v9.0.0/Problems/TOP/TOP041+3.p
12,TOP040+3.p, FOF_THM_RFO_SEQ,13532.0,83903.0,,TPTP-v9.0.0/Problems/TOP/TOP040+3.p
13,TOP034+4.p, FOF_THM_RFO_SEQ,34418.0,241711.0,,TPTP-v9.0.0/Problems/TOP/TOP034+4.p
14,TOP030+4.p, FOF_THM_RFO_SEQ,34410.0,241611.0,,TPTP-v9.0.0/Problems/TOP/TOP030+4.p
15,TOP024+4.p, FOF_THM_RFO_SEQ,34382.0,241386.0,,TPTP-v9.0.0/Problems/TOP/TOP024+4.p
16,TOP044+3.p, FOF_UNK_RFO_SEQ,18701.0,132850.0,,TPTP-v9.0.0/Problems/TOP/TOP044+3.p
17,TOP045+3.p, FOF_THM_RFO_SEQ,18710.0,132998.0,,TPTP-v9.0.0/Problems/TOP/TOP045+3.p
