,Problem,spc,n_formulae,n_atoms,n_clauses,n_literals,n_variables,full_file_name,problem_form,expected_szs,logic_order,equality,arithmetic,horness
0,TOP036+4.p, FOF_THM_RFO_SEQ,34431.0,241872.0,,,94759.0,TPTP-v9.0.0/Problems/TOP/TOP036+4.p,FOF,THM,RFO,SEQ,,
1,TOP029+1.p, FOF_THM_RFO_SEQ,109.0,569.0,,,184.0,TPTP-v9.0.0/Problems/TOP/TOP029+1.p,FOF,THM,RFO,SEQ,,
2,TOP042+3.p, FOF_THM_RFO_SEQ,13534.0,83921.0,,,33628.0,TPTP-v9.0.0/Problems/TOP/TOP042+3.p,FOF,THM,RFO,SEQ,,
3,TOP008-1.p, CNF_SAT_RFO_NEQ,,,112.0,339.0,357.0,TPTP-v9.0.0/Problems/TOP/TOP008-1.p,CNF,SAT,RFO,NEQ,,
4,TOP009-1.p, CNF_SAT_RFO_NEQ,,,112.0,339.0,357.0,TPTP-v9.0.0/Problems/TOP/TOP009-1.p,CNF,SAT,RFO,NEQ,,
5,TOP043+3.p, FOF_THM_RFO_SEQ,18468.0,129687.0,,,48214.0,TPTP-v9.0.0/Problems/TOP/TOP043+3.p,FOF,THM,RFO,SEQ,,
6,TOP028+1.p, FOF_THM_RFO_SEQ,63.0,266.0,,,100.0,TPTP-v9.0.0/Problems/TOP/TOP028+1.p,FOF,THM,RFO,SEQ,,
7,TOP037+4.p, FOF_THM_RFO_SEQ,34434.0,241903.0,,,94770.0,TPTP-v9.0.0/Problems/TOP/TOP037+4.p,FOF,THM,RFO,SEQ,,
8,TOP023+4.p, FOF_THM_RFO_SEQ,34380.0,241373.0,,,94597.0,TPTP-v9.0.0/Problems/TOP/TOP023+4.p,FOF,THM,RFO,SEQ,,
9,TOP035+4.p, FOF_THM_RFO_SEQ,34425.0,241808.0,,,94736.0,TPTP-v9.0.0/Problems/TOP/TOP035+4.p,FOF,THM,RFO,SEQ,,
10,TOP048+2.p, FOF_THM_RFO_SEQ,8890.0,54962.0,,,21504.0,TPTP-v9.0.0/Problems/TOP/TOP048+2.p,FOF,THM,RFO,SEQ,,
11,TOP041+3.p, FOF_THM_RFO_SEQ,13533.0,83912.0,,,33625.0,TPTP-v9.0.0/Problems/TOP/TOP041+3.p,FOF,THM,RFO,SEQ,,
12,TOP040+3.p, FOF_THM_RFO_SEQ,13532.0,83903.0,,,33622.0,TPTP-v9.0.0/Problems/TOP/TOP040+3.p,FOF,THM,RFO,SEQ,,
13,TOP034+4.p, FOF_THM_RFO_SEQ,34418.0,241711.0,,,94704.0,TPTP-v9.0.0/Problems/TOP/TOP034+4.p,FOF,THM,RFO,SEQ,,
14,TOP030+4.p, FOF_THM_RFO_SEQ,34410.0,241611.0,,,94673.0,TPTP-v9.0.0/Problems/TOP/TOP030+4.p,FOF,THM,RFO,SEQ,,
15,TOP024+4.p, FOF_THM_RFO_SEQ,34382.0,241386.0,,,94601.0,TPTP-v9.0.0/Problems/TOP/TOP024+4.p,FOF,THM,RFO,SEQ,,
16,TOP044+3.p, FOF_UNK_RFO_SEQ,18701.0,132850.0,,,49213.0,TPTP-v9.0.0/Problems/TOP/TOP044+3.p,FOF,UNK,RFO,SEQ,,
17,TOP045+3.p, FOF_THM_RFO_SEQ,18710.0,132998.0,,,49240.0,TPTP-v9.0.0/Problems/TOP/TOP045+3.p,FOF,THM,RFO,SEQ,,
18,TOP025+4.p, FOF_THM_RFO_SEQ,34383.0,241394.0,,,94603.0,TPTP-v9.0.0/Problems/TOP/TOP025+4.p,FOF,THM,RFO,SEQ,,
