,func_name,line,ncalls,ccalls,tottime,cumtime,func,callers
251,termIsVar,73,6929385,0,1.480270809,1.480270809,"<code object termIsVar at 0x107763030, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>",
273,termIsCompound,81,4675525,0,2.15061152,1.2058254050000001,"<code object termIsCompound at 0x1077b08a0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 81>","[_lsprof.profiler_subentry(code=<code object termIsVar at 0x107763030, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>, callcount=4675525, reccallcount=0, totaltime=0.9447861150000001, inlinetime=0.9447861150000001)]"
252,termFunc,89,2114973,0,1.59753093,0.636271896,"<code object termFunc at 0x107763130, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 89>","[_lsprof.profiler_subentry(code=<code object termIsCompound at 0x1077b08a0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 81>, callcount=2114973, reccallcount=0, totaltime=0.961259034, inlinetime=0.5381954640000001)]"
262,edge_neighb_of_subset,91,996194,0,0.087052948,0.087052948,"<code object edge_neighb_of_subset at 0x1077a5ac0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/alternatingpath.py"", line 91>",
285,,98,996194,0,0.336560034,0.24950708600000002,"<code object <lambda> at 0x1077b2d30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/alternatingpath.py"", line 98>","[_lsprof.profiler_subentry(code=<code object edge_neighb_of_subset at 0x1077a5ac0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/alternatingpath.py"", line 91>, callcount=996194, reccallcount=0, totaltime=0.087052948, inlinetime=0.087052948)]"
228,__init__,67,901837,0,0.150797285,0.150797285,"<code object __init__ at 0x1077269d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 67>",
328,mguTermList,151,724201,0,7.232994608,2.4932305280000002,"<code object mguTermList at 0x1456c3000, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/unification.py"", line 151>","[_lsprof.profiler_subentry(code=<code object termFunc at 0x107763130, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 89>, callcount=1786016, reccallcount=0, totaltime=1.33068034, inlinetime=0.518932347), _lsprof.profiler_subentry(code=""<method 'extend' of 'list' objects>"", callcount=356384, reccallcount=0, totaltime=0.061699910000000004, inlinetime=0.061699910000000004), _lsprof.profiler_subentry(code=""<method 'pop' of 'list' objects>"", callcount=1964568, reccallcount=0, totaltime=0.295206028, inlinetime=0.295206028), _lsprof.profiler_subentry(code=<code object termIsCompound at 0x1077b08a0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 81>, callcount=1786016, reccallcount=0, totaltime=0.833947568, inlinetime=0.468916857), _lsprof.profiler_subentry(code=<code object termIsVar at 0x107763030, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>, callcount=1907746, reccallcount=991820, totaltime=0.23775829, inlinetime=0.459085534), _lsprof.profiler_subentry(code=<code object occursCheck at 0x1077adf10, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/unification.py"", line 136>, callcount=88182, reccallcount=0, totaltime=0.07462210500000001, inlinetime=0.033730832), _lsprof.profiler_subentry(code=<code object composeBinding at 0x107621d30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 150>, callcount=88182, reccallcount=0, totaltime=0.15985711600000002, inlinetime=0.08514162), _lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=2440069, reccallcount=0, totaltime=0.24823471100000002, inlinetime=0.24823471100000002), _lsprof.profiler_subentry(code=<code object termArgs at 0x107763230, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 97>, callcount=356384, reccallcount=0, totaltime=0.285443384, inlinetime=0.126275205), _lsprof.profiler_subentry(code=<code object __init__ at 0x1077269d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 67>, callcount=88182, reccallcount=0, totaltime=0.022007223000000003, inlinetime=0.022007223000000003), _lsprof.profiler_subentry(code=<code object __call__ at 0x1077b0c60, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 86>, callcount=296828, reccallcount=0, totaltime=0.968963789, inlinetime=0.09221754600000001)]"
294,mgu,210,724201,0,7.873297434,0.531681194,"<code object mgu at 0x1077e05d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/unification.py"", line 210>","[_lsprof.profiler_subentry(code=<code object time at 0x101061f30, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/base_events.py"", line 768>, callcount=1, reccallcount=0, totaltime=1.6375e-05, inlinetime=1.5083000000000001e-05), _lsprof.profiler_subentry(code=<code object _process_events at 0x134e91380, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/selector_events.py"", line 740>, callcount=1, reccallcount=0, totaltime=1.292e-06, inlinetime=1.292e-06), _lsprof.profiler_subentry(code='<built-in method _heapq.heappop>', callcount=1, reccallcount=0, totaltime=1.0840000000000001e-06, inlinetime=1.0840000000000001e-06), _lsprof.profiler_subentry(code=<code object mguTermList at 0x1456c3000, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/unification.py"", line 151>, callcount=724199, reccallcount=380445, totaltime=3.6928939940000003, inlinetime=2.493215277), _lsprof.profiler_subentry(code=""<method 'append' of 'collections.deque' objects>"", callcount=1, reccallcount=0, totaltime=1.5e-06, inlinetime=1.5e-06), _lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=1, reccallcount=0, totaltime=5.420000000000001e-07, inlinetime=5.420000000000001e-07), _lsprof.profiler_subentry(code=""<method 'popleft' of 'collections.deque' objects>"", callcount=1, reccallcount=0, totaltime=2.09e-07, inlinetime=2.09e-07), _lsprof.profiler_subentry(code=<code object _run at 0x134e5f520, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/events.py"", line 87>, callcount=1, reccallcount=0, totaltime=5.4458000000000006e-05, inlinetime=1.6375e-05), _lsprof.profiler_subentry(code=<code object __init__ at 0x1077269d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 67>, callcount=724201, reccallcount=0, totaltime=0.10862113100000001, inlinetime=0.10862113100000001)]"
253,termArgs,97,684315,0,0.548458795,0.23488993800000002,"<code object termArgs at 0x107763230, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 97>","[_lsprof.profiler_subentry(code=<code object termIsCompound at 0x1077b08a0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 81>, callcount=684315, reccallcount=0, totaltime=0.31356885700000003, inlinetime=0.175846513)]"
287,apply,117,317336,4532,0.9362367730000001,0.323143396,"<code object apply at 0x1077c8030, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 117>","[_lsprof.profiler_subentry(code=<code object _clean_thread_parent_frames at 0x10351d030, file ""/Users/jannisgehring/VSCode/coursework-pyres/.venv/lib/python3.13/site-packages/ipykernel/ipkernel.py"", line 775>, callcount=2, reccallcount=0, totaltime=2.4374e-05, inlinetime=1.2789e-05), _lsprof.profiler_subentry(code=<code object termFunc at 0x107763130, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 89>, callcount=300686, reccallcount=0, totaltime=0.24604984300000002, inlinetime=0.109448688), _lsprof.profiler_subentry(code=""<method 'extend' of 'list' objects>"", callcount=300686, reccallcount=0, totaltime=0.052267779, inlinetime=0.052267779), _lsprof.profiler_subentry(code=<code object termIsVar at 0x107763030, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>, callcount=317336, reccallcount=0, totaltime=0.070134085, inlinetime=0.070134085), _lsprof.profiler_subentry(code=<code object value at 0x1077a4690, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 101>, callcount=16650, reccallcount=0, totaltime=0.0023522670000000003, inlinetime=0.0023522670000000003), _lsprof.profiler_subentry(code=<code object termArgs at 0x107763230, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 97>, callcount=300686, reccallcount=0, totaltime=0.24226502900000002, inlinetime=0.100021998), _lsprof.profiler_subentry(code=<code object apply at 0x1077c8030, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 117>, callcount=4532, reccallcount=0, totaltime=0.014352178, inlinetime=0.006237302)]"
