,func_name,line,ncalls,ccalls,tottime,cumtime,func,callers
320,termIsVar,73,2095860,0,1.1161780570000002,1.1148855560000002,"<code object termIsVar at 0x10b595430, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>","[_lsprof.profiler_subentry(code=<code object _clean_thread_parent_frames at 0x10a32a3d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/.venv/lib/python3.13/site-packages/ipykernel/ipkernel.py"", line 775>, callcount=124, reccallcount=0, totaltime=0.0012925010000000002, inlinetime=0.000702679)]"
348,termIsCompound,81,1310644,0,0.6271411450000001,0.34175444800000004,"<code object termIsCompound at 0x10b5c13e0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 81>","[_lsprof.profiler_subentry(code=<code object termIsVar at 0x10b595430, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>, callcount=1310642, reccallcount=1222263, totaltime=0.017962454000000003, inlinetime=0.28474636200000003)]"
321,termFunc,89,673909,0,0.513337214,0.19739051500000002,"<code object termFunc at 0x10b595530, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 89>","[_lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=1, reccallcount=0, totaltime=2.5000000000000004e-07, inlinetime=2.5000000000000004e-07), _lsprof.profiler_subentry(code=<code object termIsCompound at 0x10b5c13e0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 81>, callcount=673907, reccallcount=640488, totaltime=0.015104937, inlinetime=0.177661588), _lsprof.profiler_subentry(code=""<method 'popleft' of 'collections.deque' objects>"", callcount=1, reccallcount=0, totaltime=3.3300000000000003e-07, inlinetime=3.3300000000000003e-07), _lsprof.profiler_subentry(code=<code object _run at 0x129e640d0, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/events.py"", line 87>, callcount=1, reccallcount=0, totaltime=5.8625e-05, inlinetime=1.167e-06), _lsprof.profiler_subentry(code=<code object _process_events at 0x129e9b9c0, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/selector_events.py"", line 740>, callcount=1, reccallcount=0, totaltime=2.5000000000000004e-07, inlinetime=2.5000000000000004e-07), _lsprof.profiler_subentry(code=<code object time at 0x100c99f30, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/base_events.py"", line 768>, callcount=1, reccallcount=0, totaltime=6.25e-07, inlinetime=3.75e-07)]"
349,isNegative,184,483458,0,0.046285451000000005,0.046285451000000005,"<code object isNegative at 0x10b5c14d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 184>",
322,termArgs,97,474303,0,0.398833198,0.165716516,"<code object termArgs at 0x10b595630, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 97>","[_lsprof.profiler_subentry(code=<code object termIsCompound at 0x10b5c13e0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 81>, callcount=474303, reccallcount=0, totaltime=0.23311668200000002, inlinetime=0.12009172800000001)]"
319,__len__,90,263670,0,0.10018383700000001,0.07673471000000001,"<code object __len__ at 0x10b595330, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/clauses.py"", line 90>","[_lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=263670, reccallcount=0, totaltime=0.023449127, inlinetime=0.023449127)]"
366,getLiteral,115,219077,0,0.22673367400000002,0.077683445,"<code object getLiteral at 0x10b5d8390, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/clauses.py"", line 115>","[_lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=219077, reccallcount=0, totaltime=0.149050229, inlinetime=0.065447606)]"
328,termEqual,173,190740,60683,0.734930795,0.20631169900000002,"<code object termEqual at 0x10b59e420, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 173>","[_lsprof.profiler_subentry(code=<code object termArgs at 0x10b595630, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 97>, callcount=139710, reccallcount=0, totaltime=0.11440583600000001, inlinetime=0.049657838), _lsprof.profiler_subentry(code=<code object termIsVar at 0x10b595430, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>, callcount=361193, reccallcount=0, totaltime=0.081156291, inlinetime=0.081014414), _lsprof.profiler_subentry(code=<code object termListEqual at 0x10b5684b0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 158>, callcount=69855, reccallcount=9173, totaltime=0.22715241600000002, inlinetime=0.065995726), _lsprof.profiler_subentry(code=<code object termFunc at 0x10b595530, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 89>, callcount=327611, reccallcount=0, totaltime=0.24650933400000002, inlinetime=0.091705533), _lsprof.profiler_subentry(code=<code object _run_once at 0x11a018c00, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/base_events.py"", line 1947>, callcount=0, reccallcount=0, totaltime=0.0, inlinetime=0.0)]"
258,apply,117,138388,69194,1.2103252800000002,0.28657218700000003,"<code object apply at 0x10b49f860, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 117>","[_lsprof.profiler_subentry(code=""<method 'extend' of 'list' objects>"", callcount=123658, reccallcount=0, totaltime=0.024804671, inlinetime=0.024804671), _lsprof.profiler_subentry(code=<code object _clean_thread_parent_frames at 0x10a32a3d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/.venv/lib/python3.13/site-packages/ipykernel/ipkernel.py"", line 775>, callcount=102, reccallcount=0, totaltime=0.0010232940000000001, inlinetime=0.00055285), _lsprof.profiler_subentry(code=<code object apply at 0x10b49f860, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 117>, callcount=69194, reccallcount=0, totaltime=0.8633215350000001, inlinetime=0.081472794), _lsprof.profiler_subentry(code=<code object value at 0x10b553220, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 101>, callcount=14730, reccallcount=0, totaltime=0.0032875150000000004, inlinetime=0.0032875150000000004), _lsprof.profiler_subentry(code=<code object termArgs at 0x10b595630, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 97>, callcount=123658, reccallcount=0, totaltime=0.11697727100000001, inlinetime=0.04454379), _lsprof.profiler_subentry(code=<code object termIsVar at 0x10b595430, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>, callcount=138388, reccallcount=0, totaltime=0.682988319, inlinetime=0.682639155), _lsprof.profiler_subentry(code=<code object termFunc at 0x10b595530, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 89>, callcount=123658, reccallcount=0, totaltime=0.09467202300000001, inlinetime=0.037422056)]"
287,isEqual,234,134273,0,0.6477463600000001,0.08182679600000001,"<code object isEqual at 0x10b541790, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 234>","[_lsprof.profiler_subentry(code=<code object isNegative at 0x10b5c14d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 184>, callcount=268546, reccallcount=0, totaltime=0.024839405000000002, inlinetime=0.024839405000000002), _lsprof.profiler_subentry(code=<code object termEqual at 0x10b59e420, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 173>, callcount=60682, reccallcount=3517, totaltime=0.512394888, inlinetime=0.09736920900000001)]"
