,func_name,line,ncalls,ccalls,tottime,cumtime,func,callers
289,termIsVar,73,261364,0,0.05772788500000001,0.057647176,"<code object termIsVar at 0x107ac1430, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>","[_lsprof.profiler_subentry(code=<code object _clean_thread_parent_frames at 0x103230a40, file ""/Users/jannisgehring/VSCode/coursework-pyres/.venv/lib/python3.13/site-packages/ipykernel/ipkernel.py"", line 775>, callcount=6, reccallcount=0, totaltime=8.0709e-05, inlinetime=3.6668e-05)]"
314,termIsCompound,81,182050,0,0.08721651500000001,0.047997614,"<code object termIsCompound at 0x107ae93e0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 81>","[_lsprof.profiler_subentry(code=<code object termIsVar at 0x107ac1430, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>, callcount=182049, reccallcount=180183, totaltime=0.00042119300000000004, inlinetime=0.039128317)]"
290,termFunc,89,74573,0,0.05619819400000001,0.021454242000000002,"<code object termFunc at 0x107ac1530, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 89>","[_lsprof.profiler_subentry(code=<code object termIsCompound at 0x107ae93e0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 81>, callcount=74573, reccallcount=0, totaltime=0.034743952, inlinetime=0.019326236)]"
291,termArgs,97,48725,0,0.040374247,0.016305902,"<code object termArgs at 0x107ac1630, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 97>","[_lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=1, reccallcount=0, totaltime=7.08e-07, inlinetime=7.08e-07), _lsprof.profiler_subentry(code=<code object termIsCompound at 0x107ae93e0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 81>, callcount=48723, reccallcount=48254, totaltime=0.000233267, inlinetime=0.012815546), _lsprof.profiler_subentry(code=""<method 'popleft' of 'collections.deque' objects>"", callcount=1, reccallcount=0, totaltime=8.750000000000001e-07, inlinetime=8.750000000000001e-07), _lsprof.profiler_subentry(code=<code object time at 0x10126df30, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/base_events.py"", line 768>, callcount=1, reccallcount=0, totaltime=8.542e-06, inlinetime=7.75e-06), _lsprof.profiler_subentry(code=<code object _process_events at 0x135676990, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/selector_events.py"", line 740>, callcount=1, reccallcount=0, totaltime=4.5800000000000005e-07, inlinetime=4.5800000000000005e-07), _lsprof.profiler_subentry(code=<code object _run at 0x135780010, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/events.py"", line 87>, callcount=1, reccallcount=0, totaltime=0.000153708, inlinetime=3.5830000000000003e-06)]"
315,isNegative,184,17699,0,0.0018670470000000002,0.0018670470000000002,"<code object isNegative at 0x107ae94d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 184>",
242,__init__,67,17225,0,0.0032397140000000003,0.003213089,"<code object __init__ at 0x107a07750, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 67>","[_lsprof.profiler_subentry(code=<code object _clean_thread_parent_frames at 0x103230a40, file ""/Users/jannisgehring/VSCode/coursework-pyres/.venv/lib/python3.13/site-packages/ipykernel/ipkernel.py"", line 775>, callcount=2, reccallcount=0, totaltime=2.6625e-05, inlinetime=1.3835e-05)]"
342,edge_neighb_of_subset,91,16200,0,0.050373060000000004,0.050373060000000004,"<code object edge_neighb_of_subset at 0x107c2c690, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/alternatingpath.py"", line 91>",
329,,98,16200,0,0.054565859,0.0041927990000000005,"<code object <lambda> at 0x107aeb870, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/alternatingpath.py"", line 98>","[_lsprof.profiler_subentry(code=<code object edge_neighb_of_subset at 0x107c2c690, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/alternatingpath.py"", line 91>, callcount=16199, reccallcount=0, totaltime=0.050369893000000006, inlinetime=0.050369893000000006)]"
382,mguTermList,151,14967,0,0.226964469,0.08558916600000001,"<code object mguTermList at 0x136a7a800, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/unification.py"", line 151>","[_lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=64301, reccallcount=0, totaltime=0.007299979000000001, inlinetime=0.007299979000000001), _lsprof.profiler_subentry(code=<code object __init__ at 0x107a07750, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 67>, callcount=1110, reccallcount=0, totaltime=0.0005132040000000001, inlinetime=0.000486579), _lsprof.profiler_subentry(code=<code object termArgs at 0x107ac1630, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 97>, callcount=36567, reccallcount=31650, totaltime=0.0049598, inlinetime=0.012256645), _lsprof.profiler_subentry(code=""<method 'extend' of 'list' objects>"", callcount=36567, reccallcount=0, totaltime=0.006388238, inlinetime=0.006388238), _lsprof.profiler_subentry(code=<code object termFunc at 0x107ac1530, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 89>, callcount=57620, reccallcount=0, totaltime=0.043563473000000005, inlinetime=0.016643284), _lsprof.profiler_subentry(code=<code object termIsCompound at 0x107ae93e0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 81>, callcount=57620, reccallcount=0, totaltime=0.027880207, inlinetime=0.015565891), _lsprof.profiler_subentry(code=<code object _run_once at 0x12583be00, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/base_events.py"", line 1947>, callcount=0, reccallcount=0, totaltime=0.0, inlinetime=0.0), _lsprof.profiler_subentry(code=""<method 'pop' of 'list' objects>"", callcount=59857, reccallcount=0, totaltime=0.009166731000000001, inlinetime=0.009166731000000001), _lsprof.profiler_subentry(code=<code object termIsVar at 0x107ac1430, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>, callcount=59183, reccallcount=0, totaltime=0.014052845000000001, inlinetime=0.014052845000000001), _lsprof.profiler_subentry(code=<code object composeBinding at 0x107a457c0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 150>, callcount=1110, reccallcount=0, totaltime=0.0014323810000000001, inlinetime=0.000989784), _lsprof.profiler_subentry(code=<code object occursCheck at 0x107c18e70, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/unification.py"", line 136>, callcount=1110, reccallcount=0, totaltime=0.0009530130000000001, inlinetime=0.000448167), _lsprof.profiler_subentry(code=<code object _clean_thread_parent_frames at 0x103230a40, file ""/Users/jannisgehring/VSCode/coursework-pyres/.venv/lib/python3.13/site-packages/ipykernel/ipkernel.py"", line 775>, callcount=2, reccallcount=0, totaltime=3.3834e-05, inlinetime=1.6043000000000002e-05)]"
337,mgu,210,14967,0,0.241396153,0.011709166,"<code object mgu at 0x107afd350, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/unification.py"", line 210>","[_lsprof.profiler_subentry(code=<code object send at 0x136443530, file ""/Users/jannisgehring/VSCode/coursework-pyres/.venv/lib/python3.13/site-packages/zmq/sugar/socket.py"", line 626>, callcount=3, reccallcount=0, totaltime=0.000162167, inlinetime=0.000150543), _lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=1, reccallcount=0, totaltime=8.750000000000001e-07, inlinetime=8.750000000000001e-07), _lsprof.profiler_subentry(code=<code object __init__ at 0x107a07750, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 67>, callcount=14967, reccallcount=0, totaltime=0.00247781, inlinetime=0.00247781), _lsprof.profiler_subentry(code=""<method 'popleft' of 'collections.deque' objects>"", callcount=1, reccallcount=0, totaltime=8.750000000000001e-07, inlinetime=8.750000000000001e-07), _lsprof.profiler_subentry(code=<code object time at 0x10126df30, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/base_events.py"", line 768>, callcount=1, reccallcount=0, totaltime=3.417e-06, inlinetime=2.5e-06), _lsprof.profiler_subentry(code=<code object mguTermList at 0x136a7a800, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/unification.py"", line 151>, callcount=14965, reccallcount=13331, totaltime=0.030165909, inlinetime=0.08555728600000001), _lsprof.profiler_subentry(code=<code object _process_events at 0x135676990, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/selector_events.py"", line 740>, callcount=1, reccallcount=0, totaltime=8.33e-07, inlinetime=8.33e-07), _lsprof.profiler_subentry(code=<code object __or__ at 0x100a85f10, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/enum.py"", line 1581>, callcount=3, reccallcount=0, totaltime=8.2292e-05, inlinetime=3.2167e-05), _lsprof.profiler_subentry(code=<code object _run at 0x135780010, file ""/opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/events.py"", line 87>, callcount=1, reccallcount=0, totaltime=0.000326125, inlinetime=3.7080000000000003e-06)]"
